Pick,Available Rank,Player,Position,Team,Mean,Floor,Ceiling,SD,Risk,VOR,Drop Off,Tier,ADP,AAV,injury_status,pos_rank,tier,ecr,sd_ecr,risk,injury_status,Flex Rank
56,,Chase Edmonds,RB,MIA,131,118,146,16.5,35,26.8,4.65,10,91.6,9.93,NA,36,3,NA,NA,3.5,Q,79
60,,Hunter Renfrow,WR,LVR,125,115,146,10.8,49,19.4,2.22,7,92.1,8.01,NA,37,5,57.4,13.4,7.88,NA,80
57,,Rashod Bateman,WR,BAL,129,103,141,14.5,46,23.4,4,7,93.3,9.76,NA,36,3,NA,NA,5.05,NA,81
121,,Dawson Knox,TE,BUF,98.5,91.4,117,6.03,16,40.8,0.55,5,93.4,6.5,NA,10,NA,217,43.8,6.56,Q,82
111,,Zach Ertz,TE,ARI,98.8,85,114,9.44,42,41.2,0.373,5,94.1,6.8,Q,9,NA,64.6,13,3.14,Q,83
51,,DeVonta Smith,WR,PHI,119,85.9,146,27.9,78,13.9,4.49,7,95.3,5.61,NA,42,6,92,18.4,6.02,NA,84
88,,Trey Lance,QB,SF,385,338,415,28.5,61,-40.2,20.9,6,97.4,13.2,NA,15,NA,2.22,0.73,3.61,NA,999
92,,Tyler Lockett,WR,SEA,137,117,173,19.7,63,31.3,0.815,6,98.3,8.15,NA,29,10,261,32.7,5.5,NA,85
28,,Dameon Pierce,RB,HOU,110,37.3,157,24.4,90,6.14,6.14,11,99.5,10.4,NA,39,7,172,33.2,5.6,NA,86
29,,Rhamondre Stevenson,RB,NE,139,108,165,21.9,67,35.7,1.22,9,101,9.63,NA,32,2,NA,NA,6.11,NA,87
73,,Brandon Aiyuk,WR,SF,123,107,144,17.2,59,17.2,0.92,7,101,7.5,NA,38,4,NA,NA,5.95,NA,88
45,,Allen Lazard,WR,GB,122,101,149,19.8,79,16.3,1.15,7,101,12.7,NA,39,5,NA,NA,NA,NA,89
81,,Derek Carr,QB,LVR,391,367,418,16.3,13,-34.7,5.53,5,104,13.9,NA,14,NA,50.8,9.91,2.58,NA,999
68,,James Cook,RB,BUF,104,71,119,13.6,54,0,3.05,11,105,13.7,NA,40,NA,158,29.2,6.68,NA,90
78,,Robert Woods,WR,TEN,129,108,152,20.1,76,23.7,0.312,6,106,6.83,Q,35,,,,,,91
69,,Drake London,WR,ATL,115,102,136,2.65,48,9.39,1.92,7,107,18.7,Q,43,NA,106,9.63,3.49,NA,92
76,,James Robinson,RB,JAC,114,89.6,136,17.2,62,10.6,4.5,11,109,8.07,Q,38,NA,125,15.9,3.74,NA,93
95,,Pat Freiermuth,TE,PIT,85.4,76.9,109,8.33,19,27.8,1.61,6,112,4.47,NA,17,NA,164,35.7,6.42,NA,94
143,,Kirk Cousins,QB,MIN,406,396,420,10.8,3,-19.9,14.8,5,114,11.9,NA,13,NA,54.8,11,3.47,NA,999
62,,Christian Kirk,WR,JAC,121,110,139,11.3,33,15.1,1.15,7,114,7.1,NA,40,9,276,39.5,5.63,NA,95
105,,Treylon Burks,WR,TEN,106,51.2,128,13.4,75,0.217,0.0583,8,114,13.7,Q,48,5,NA,NA,5.14,NA,96
71,,Skyy Moore,WR,KC,92.8,55,127,27.7,94,-12.7,19.5,10,115,10.3,NA,63,2,NA,NA,7.02,NA,97
61,,Tyler Allgeier,RB,ATL,82.2,36.6,119,13.7,70,-21.5,1.82,13,115,5.48,NA,50,3,NA,NA,4.92,NA,98
31,,Chris Olave,WR,NO,101,77.2,134,10.7,57,-4.29,0.2,8,118,12.7,NA,56,3,NA,NA,3.91,NA,99
139,,Mike Gesicki,TE,MIA,93.1,77.8,105,13.5,58,35.5,1.03,6,119,4.46,NA,12,4,NA,NA,3.6,NA,100
87,,Isiah Pacheco,RB,KC,59.4,27.4,110,27.5,99,-44.3,0.0575,14,119,6.28,NA,58,,,,,,101
85,,Chase Claypool,WR,PIT,119,103,140,16,62,14,0.0946,7,120,4.77,NA,41,6,129,19.6,2.92,NA,102
77,,Kadarius Toney,WR,NYG,106,58.5,129,19.6,71,0,1.67,8,121,4.6,Q,50,8,154,30.2,6.21,Q,103
65,,Michael Carter,RB,NYJ,101,80.7,114,9.62,25,-3.05,0.717,11,121,3.5,NA,41,NA,9.01,3.75,2.81,NA,104
80,,Isaiah Spiller,RB,LAC,76.2,42.5,98.8,8.58,40,-27.6,2.12,13,122,7.61,NA,53,,,,,,105
59,,Darrell Henderson,RB,LAR,95.6,65.9,115,16.7,38,-8.13,1.56,12,123,5.15,Q,45,NA,154,30.4,8.08,NA,106
141,,Kenneth Gainwell,RB,PHI,89.6,61.2,118,23.4,81,-14.1,2.73,12,126,3.75,NA,47,NA,71.3,15.6,2.78,Q,107
63,,Alexander Mattison,RB,MIN,86.9,77.5,98.2,8.86,22,-16.8,0.493,12,126,4.43,NA,48,NA,92.4,29.8,6.66,NA,108
82,,Garrett Wilson,WR,NYJ,96,55.5,123,14.8,73,-9.48,0.796,9,128,11.1,NA,61,9,264,32.2,6.42,NA,109
136,,D.J. Chark,WR,DET,108,71.7,145,40.2,97,2.27,1.08,8,129,4.28,NA,45,NA,36.3,5.43,2.26,Q,110
149,,Tua Tagovailoa,QB,MIA,362,338,385,21.9,35,-63.7,11.7,6,131,7.8,NA,17,NA,24.9,4.43,2.55,NA,999
90,,George Pickens,WR,PIT,97.1,62.4,135,35.8,98,-8.41,0.502,9,131,10.4,NA,59,NA,148,31.2,5.05,NA,111
79,,Hunter Henry,TE,NE,97.9,85.9,113,9.51,45,40.3,4.83,5,132,3.7,Q,11,2,20.3,4.23,1.36,NA,112
160,,Russell Gage,WR,TB,103,70.4,130,15.6,81,-2.29,0.644,8,133,3.23,Q,54,NA,25.8,11,3.67,NA,113
129,,Cole Kmet,TE,CHI,83.1,67.8,99.3,10.6,48,25.5,0.352,7,133,3.7,NA,19,NA,123,17.3,3.8,Q,114
113,,Romeo Doubs,WR,GB,73.3,15.1,115,71.6,99,-32.2,0,10,134,5.79,NA,64,,,,,,115
124,,DeVante Parker,WR,NE,113,95.1,135,20.6,92,7.46,5.19,8,135,4.16,NA,44,NA,62.2,14,3.87,NA,116
98,,Michael Gallup,WR,DAL,104,75.8,124,24.3,95,-1.67,0.171,8,135,4.5,O,51,4,NA,NA,3,NA,117
72,,Raheem Mostert,RB,MIA,100,73.6,110,10.1,37,-3.77,2.36,12,135,3.68,NA,42,NA,158,33.7,5.95,NA,118
142,,Ronald Jones,RB,KC,60.2,30.9,81.4,25.6,97,-43.6,0.707,14,136,4,NA,57,,,,,,119
130,,Matt Ryan,QB,IND,346,325,363,10.2,23,-79.5,9.4,7,137,8.31,NA,20,1,NA,NA,NA,NA,999
93,,Brian Robinson,RB,WAS,94,65,122,11.6,79,-9.69,4.4,12,138,6.51,NA,46,NA,258,88.4,10.2,NA,120
86,,Marlon Mack,RB,HOU,97.6,70.9,158,20.1,84,-6.13,0.352,12,139,5.28,NA,43,5,NA,NA,5.22,NA,121
128,,Khalil Herbert,RB,CHI,68.4,41.8,81,13.5,51,-35.3,3.63,14,140,3.53,NA,55,,,,,,122
99,,Tyrion Davis-Price,RB,SF,42.6,11.7,77.9,21,92,-61.2,0,15,140,4.79,NA,64,,,,,,123
122,,Justin Fields,QB,CHI,323,289,363,28.8,77,-102,1.97,8,142,7.54,NA,24,NA,40,5.22,2.84,NA,999
0,RB1,Darrel Williams,RB,ARI,78.6,46.3,118,33.5,94,-25.1,2.43,13,142,2.97,NA,52,5,NA,NA,5.22,NA,124
116,,Zamir White,RB,LVR,59.4,27.2,95.1,31.4,95,-44.3,0.127,14,142,5.55,NA,59,,,,,,125
0,QB1,Ryan Tannehill,QB,TEN,365,347,378,8.46,19,-61.1,2.58,6,143,6.36,NA,16,NA,70.2,8.38,3.32,NA,999
136,,Tyler Boyd,WR,CIN,106,92.8,124,8.55,38,0.159,0.159,8,143,4.44,NA,49,3,NA,NA,5.15,NA,126
155,,Jarvis Landry,WR,NO,99.1,82.3,117,22.1,90,-6.39,2.02,9,143,4.12,NA,58,5,NA,NA,2.91,NA,127
