Pick,Available Rank,Player,Position,Team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,position_rank,tier,adp,aav,uncertainty,injury_status,Flex Rank,Pts Per Game,ADP Pressure,Team
84,,Nico Collins,WR,HOU,93.7,7.73,4.95,78.7,108,-4.18,-3.08,-12.7,178,171,250,60,15,146,2.85,38,,130,5.5,111,Face
85,,Irv Smith Jr.,TE,CIN,71,3.45,1.24,60.9,81.8,9.06,16.2,8.02,114,97,131,19,7,162,3.86,48,NA,98,4.2,122,Toast
86,,Tyjae Spears,RB,TEN,60.2,11.5,1.1,40.9,76.8,-51.4,-51.1,-56.5,739,791,699,63,16,129,6.93,90,,999,3.5,97,Stephen
87,,Jaylen Warren,RB,PIT,81.5,6.58,3.78,67.1,92.3,-30.1,-24.9,-41,458,417,521,52,14,145,4.95,17,,999,4.8,109,Chris
88,,Nick Bosa,DL,SF,76.6,25,0.005,58.5,99.3,1.61,-10.9,11,142,260,121,5,3,NA,13.3,97,,999,4.5,17,Tye
0,QB3,Russell Wilson,QB,DEN,368,14.8,6.63,321,384,-15.8,-36.1,-29.8,304,572,400,16,7,120,10.6,29,,999,21.6,,
89,,Ezekiel Elliott,RB,FA,97.6,20.2,0.69,85.4,110,-14,-6.63,-23.4,276,207,341,45,12,142,4.51,94,,141,5.7,108,Face
90,,Kenneth Gainwell,RB,PHI,74.4,17.9,0.516,51.5,92.1,-37.2,-40.5,-41.2,556,665,522,54,14,154,3.18,73,,999,4.4,116,Chad
91,,Quentin Johnston,WR,LAC,95.4,22.8,0.506,61.4,115,-2.5,-20.3,-5.03,166,360,193,53,14,118,16.2,81,,123,5.6,83,Chad
94,,Tua Tagovailoa,QB,MIA,361,22.6,22.7,331,399,-22.4,-25.6,-14.8,370,425,270,17,8,86.3,13.2,42,,999,21.2,52,Chris
95,,Jordan Battle,DB,CIN,107,NA,0.6,107,107,3.04,13.5,-15.3,133,100,278,5,1,57.1,NA,NA,NA,999,6.3,28,Stephen
96,,Tyler Boyd,WR,CIN,99.2,12.6,0.86,86,109,1.33,4.26,-11.6,146,132,234,48,13,150,4.28,71,NA,114,5.8,112,Toast
97,,Darius Leonard,LB,IND,110,9.34,0.175,101,124,-8.61,-5.33,-34.6,216,192,452,22,4,NA,11.1,55,NA,999,6.5,17,Face
98,,Chigoziem Okonkwo,TE,TEN,82.1,5.07,2.13,72.4,97.8,20.2,27.7,24,93,84,87,15,5,129,3.9,16,Q,85,4.8,97,Joe
99,,Gus Edwards,RB,BAL,77.8,11.2,3.31,47.6,97.9,-33.8,-44.4,-35.4,510,710,461,53,14,162,3.06,57,,999,4.6,122,Ace
100,,Rashod Bateman,WR,BAL,96.1,11.1,0.515,81.8,109,-1.82,0,-11.6,162,154,236,51,14,129,3.65,62,,121,5.7,97,Jason
101,,Zaire Franklin,LB,IND,130,0.445,2.12,115,169,11.9,8.77,11.1,103,116,120,3,2,NA,19.8,2,NA,999,7.6,17,Jason
102,,Aidan Hutchinson,DL,DET,74.1,0.593,1.35,73.6,74.4,-0.89,4.28,-13.9,159,131,260,12,4,NA,NA,5,,999,4.4,17,Ace
0,QB4,Bryce Young,QB,CAR,308,33.2,11.4,276,345,-75.8,-80.8,-68.6,942,1130,814,24,11,130,32.2,68,,999,18.1,,
103,,Dalton Kincaid,TE,BUF,69.7,12.3,2.2,28,99.9,7.75,-16.6,26.1,117,318,84,21,7,118,12.5,84,Q,100,4.1,83,Joe
0,DST4,Bills,DST,BUF,88.9,5.45,0.207,29,97.8,-9.49,-3.25,-16.1,229,175,285,7,3,131,1.74,6,NA,999,5.2,,
104,,Jalen Pitre,DB,HOU,138,11.3,27.7,131,145,34.7,37.9,23.3,66,61,91,1,1,NA,NA,65,NA,999,8.1,17,Face
105,,Kevin Byard,DB,TEN,95.1,2.8,0.13,85.3,118,-8.67,-8.02,-4.27,217,227,189,25,2,NA,4.15,15,NA,999,5.6,17,Toast
106,,DOnta Foreman,RB,CHI,103,21.3,3.11,77.7,131,-8.38,-14.3,-2.18,213,290,170,43,12,134,4.77,71,NA,135,6.1,102,Stephen
107,,Courtland Sutton,WR,DEN,107,14.8,0.2,93.9,132,9.61,12.2,11.7,111,103,116,43,12,120,6.72,60,NA,96,6.3,86,Chris
0,DST5,Patriots,DST,NE,94.5,28.1,0.181,26.9,120,-3.86,-5.35,6.06,172,193,133,2,1,135,1.55,99,,999,5.6,,
0,DST6,Jets,DST,NYJ,83.7,15.3,0.0263,23.4,100,-14.7,-8.85,-13.8,288,238,259,17,8,137,1.59,87,,999,4.9,,
108,,Budda Baker,DB,ARI,108,6.38,0.945,95.7,133,4.03,2.42,10.9,128,139,122,3,1,NA,12.3,37,NA,999,6.4,17,Tye
0,TE1,Juwan Johnson,TE,NO,83.6,11.6,1.39,72,115,21.6,27.3,40.7,90,85,62,13,5,139,4.34,68,Q,83,4.9,,
0,RB1,Devin Singletary,RB,HOU,87.7,11.5,6.15,75.6,112,-23.9,-16.4,-21.3,384,314,319,51,14,139,4.46,35,,147,5.2,,
0,QB5,Matthew Stafford,QB,LAR,329,13,10.9,302,362,-54,-54.9,-51,773,820,639,19,9,139,5.77,13,,999,19.4,,
109,,Kayvon Thibodeaux,DL,NYG,74.8,2.89,0.71,68.6,87.9,-0.18,-0.725,-0.446,155,158,159,11,4,NA,NA,43,NA,999,4.4,17,Kennedy
110,,Jerome Ford,RB,CLE,59.1,16.9,1.03,27.6,80,-52.5,-64.4,-53.3,752,896,664,64,16,162,5.92,89,,999,3.5,122,Chad
111,,Dalton Schultz,TE,HOU,86,12.9,1.63,73.6,98.9,24.1,28.9,25.1,87,80,86,11,5,121,5.41,58,NA,80,5.1,87,Chad
0,WR1,Rondale Moore,WR,ARI,94,13.4,0.061,83.3,113,-3.87,1.53,-7.46,173,148,211,57,14,142,2.25,79,NA,127,5.5,,
0,K2,Harrison Butker,K,KC,148,8.21,0.403,131,162,-8.76,-11.6,-23.3,219,266,339,5,1,142,2.93,17,NA,999,8.7,,
112,,Odell Beckham,WR,BAL,97.9,33.3,1.82,49,126,0,-32.8,5.95,154,528,134,50,14,119,5.62,99,NA,119,5.8,84,Kennedy
0,QB6,C.J. Stroud,QB,HOU,294,33,3.04,261,329,-89,-95.2,-84.3,1060,1240,926,26,11,142,30.8,77,,999,17.3,,
0,DST7,Ravens,DST,BAL,81.1,16.9,0.246,24.7,98,-17.2,-7.57,-15.8,320,223,282,22,10,144,1.2,42,,999,4.8,,
0,QB7,Baker Mayfield,QB,TB,229,72.7,130,147,322,-154,-210,-90.9,1260,1270,968,32,15,144,5.58,97,,999,13.5,,
114,,T.J. Edwards,LB,CHI,105,8.01,0.385,81.1,158,-13.9,-25.4,-0.042,274,422,157,32,5,NA,11.9,43,,999,6.2,17,Chris
115,,Aaron Rodgers,QB,NYJ,374,22,3.92,331,414,-8.93,-25.8,0.831,225,430,152,14,7,97.1,11.7,48,NA,999,22.0,64,Stephen
116,,Devin White,LB,TB,104,6.18,1.08,85.8,145,-14.7,-20.7,-13.3,286,366,256,34,5,NA,15.9,39,,999,6.1,17,Toast
0,QB8,Brock Purdy,QB,SF,318,29.5,2.84,268,361,-65.1,-88.4,-52.9,878,1210,660,21,9,146,7.33,90,,999,18.7,,
0,TE2,Taysom Hill,TE,NO,74.2,21.5,3.17,47.9,115,12.2,3.26,40.9,102,133,61,18,7,147,2.79,99,NA,91,4.4,,
0,WR2,Adam Thielen,WR,CAR,94.4,5.19,0.395,80.2,116,-3.47,-1.52,-4.74,170,162,192,56,14,147,4.87,73,,126,5.6,,
0,K3,Chris Boswell,K,PIT,137,4.96,1.32,129,159,-19,-13.9,-26.6,333,283,370,16,2,147,2.45,27,,999,8.1,,
0,RB2,Leonard Fournette,RB,FA,88.5,20,0.813,76.4,101,-23.1,-15.6,-32.6,380,305,426,50,13,148,3.78,97,,146,5.2,,
0,QB9,Jordan Love,QB,GB,315,20.7,5.12,285,350,-68,-72.1,-63.4,896,959,760,22,10,148,7.56,65,,999,18.5,,
117,,Pat Freiermuth,TE,PIT,88.2,2.19,1.09,79.4,107,26.3,34.7,33.6,79,66,71,9,4,91,6.14,1,NA,72,5.2,57,Face
