Pick,Available Rank,player,pos,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,ecr,sd_ecr,risk,injury_status,Flex Rank
92,,Justin Jackson,RB,LAC,137,38.5,5.88,95.6,187,-95.8,-71.5,-102,760,451,538,63,NA,217,43.8,6.56,Q,143
110,,Rob Gronkowski,TE,TB,137,11.6,0.593,123,153,-15,-5.52,-21.6,182,150,231,18,7,155,27.8,4,NA,144
0,TE4,Anthony Firkser,TE,TEN,137,17.9,1.05,118,162,-15.6,-10.4,-11.8,195,175,170,19,7,181,42.1,6.68,NA,145
83,,Jonnu Smith,TE,NE,136,34.6,0.284,68.4,163,-16.7,-59.6,-11.5,201,419,168,20,7,125,20.3,5.82,Q,146
148,,Eric Ebron,TE,PIT,135,28.8,1.2,84,169,-16.9,-44,-5.18,203,369,141,21,7,192,30.3,6.44,NA,147
0,TE5,Hunter Henry,TE,NE,134,45.1,8.15,49.6,177,-18.1,-78.5,2.91,208,464,107,22,8,148,22.2,7.35,Q,148
0,RB8,Xavier Jones,RB,LAR,131,66.4,2.35,39.5,228,-102,-128,-61,785,601,453,64,NA,213,68.3,10.9,NA,149
0,RB9,Adrian Peterson,RB,FA,129,35.2,0.782,106,155,-104,-60.9,-134,793,427,588,65,NA,323,34.2,5.48,NA,150
0.31,,Darius Leonard,LB,IND,128,1.2,8.39,127,129,20.5,27.1,18.4,71,75,76,2,1,NA,NA,2.96,NA,999
0,TE6,Adam Trautman,TE,NO,126,33.1,3.68,68.4,159,-26.3,-59.6,-15,275,420,193,23,8,148,39.5,8.19,NA,151
0,TE7,Cole Kmet,TE,CHI,122,27,3.4,87.3,170,-30,-40.7,-4.62,308,350,139,24,8,154,30.2,6.21,Q,152
0.35,,Roquan Smith,LB,CHI,120,0.495,4.4,120,120,12.1,19.2,9.62,87,81,90,3,2,NA,NA,2.79,NA,999
104,,Blake Jarwin,TE,DAL,119,29.1,7.98,78.6,152,-33.4,-49.4,-22.3,335,390,235,25,8,163,32.6,6.77,NA,153
114,,Donovan Wilson,DB,DAL,115,NA,1.13,NA,NA,18.7,NA,NA,74,NA,NA,1,1,NA,NA,NA,NA,999
127,,Joe Schobert,LB,PIT,115,9.05,0.798,110,122,7.7,9.36,11.5,94,98,87,4,2,NA,NA,4.83,NA,999
124,,Zach Cunningham,LB,HOU,115,3.25,0.767,113,117,6.9,12.3,6.45,95,93,100,5,2,NA,NA,3.45,NA,999
115,,Jamal Adams,DB,SEA,114,11.1,4.06,107,122,17.6,16,20.3,76,86,74,2,1,NA,NA,5.79,NA,999
0,LB1,Fred Warner,LB,SF,114,7.42,1.91,109,119,6.13,8.84,8.75,97,99,92,6,2,NA,NA,4.45,NA,999
0,LB2,C.J. Mosley,LB,NYJ,112,18.2,0.329,100,125,4.22,0,14.8,103,121,82,7,2,NA,NA,7.02,NA,999
129,,Bobby Wagner,LB,SEA,112,2.47,0.834,110,113,3.89,9.77,2.87,104,96,109,8,2,NA,NA,3.27,NA,999
0,LB3,Demario Davis,LB,NO,111,1.2,3.06,110,112,3.06,9.75,1.1,106,97,116,9,3,NA,NA,2.96,NA,999
0,TE8,Jack Doyle,TE,IND,111,26.5,4.16,71.9,149,-41.3,-56.2,-25.6,404,406,257,26,9,264,32.2,6.42,NA,154
101,,Derwin James,DB,LAC,110,10.3,2.14,103,117,13.5,12.5,15.6,82,90,80,3,1,NA,NA,5.51,NA,999
0.39,,Budda Baker,DB,ARI,108,12.1,6.64,98.7,115,11.4,8.06,13.6,89,100,84,4,2,NA,NA,6.11,NA,999
0.36,,Blake Martinez,LB,NYG,108,3.46,4.07,105,110,0,4.91,-0.621,118,108,124,10,3,NA,NA,3.5,Q,999
0,TE9,Jordan Akins,TE,HOU,107,12.1,4.22,90.7,126,-45.5,-37.4,-48,438,342,416,27,9,276,39.5,5.63,NA,155
