Rk,Player,Age,Team,Pos,G,GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving 1D,Receiving YBC,Receiving YBC/R,Receiving YAC,Receiving YAC/R,Receiving ADOT,Receiving BrkTkl,Receiving Rec/Br,Receiving Drop,Receiving Drop%,Receiving Int,Receiving Rat,Awards,-additional -9999
118,Marvin Mims,22,DEN,WR,17,2,52,39,503,14,26,0.7,477,12.2,7.4,0,,3,5.8,2,127.3,PBAP-1,MimsMa00
119,Josh Palmer,25,LAC,WR,15,7,65,39,584,28,483,12.4,101,2.6,15.2,0,,4,6.2,1,88.2,,PalmJo00
120,Darius Slayton,27,NYG,WR,16,13,71,39,573,30,449,11.5,124,3.2,13.1,4,9.8,4,5.6,2,79.1,,SlayDa01
121,Dontayvion Wicks,23,GNB,WR,17,5,76,39,415,25,276,7.1,139,3.6,10.7,3,13.0,9,11.8,2,78.6,,WickDo00
122,Tyrone Tracy Jr.,25,NYG,RB,17,12,53,38,284,13,3,0.1,281,7.4,0.3,6,6.3,5,9.4,1,82.6,,TracTy00
123,Jaylen Warren,26,PIT,RB,15,0,47,38,310,16,-5,-0.1,315,8.3,-0.1,5,7.6,1,2.1,0,94.1,,WarrJa01
124,Greg Dortch,26,ARI,WR,17,4,50,37,342,16,48,1.3,294,7.9,4.1,5,7.4,3,6.0,0,112.2,,DortGr01
125,Jerome Ford,25,CLE,RB,14,6,43,37,225,10,-69,-1.9,294,7.9,-0.3,7,5.3,1,2.3,0,88.5,,FordJe00
126,Allen Lazard,29,NYJ,WR,12,10,60,37,530,29,375,10.1,155,4.2,11.0,0,,6,10.0,2,109.7,,LazaAl00
127,Jalen McMillan,23,TAM,WR,13,12,58,37,461,23,328,8.9,133,3.6,12.2,1,37.0,4,6.9,6,88.4,,McMiJa01
128,Alec Pierce,24,IND,WR,16,13,69,37,824,32,706,19.1,118,3.2,21.5,0,,3,4.3,4,106.2,,PierAl00
129,Calvin Austin III,25,PIT,WR,17,8,58,36,548,18,396,11.0,152,4.2,12.4,1,36.0,3,5.2,0,116.2,,AustCa00
130,Najee Harris,26,PIT,RB,17,17,48,36,283,13,-46,-1.3,329,9.1,-1.5,7,5.1,4,8.3,0,89.1,,HarrNa00
131,Andrei Iosivas,25,CIN,WR,17,8,61,36,479,26,412,11.4,67,1.9,11.2,0,,5,8.2,1,109.9,,IosiAn00
132,Josh Jacobs,26,GNB,RB,17,17,43,36,342,15,-61,-1.7,403,11.2,-1.0,13,2.8,0,0.0,1,97.9,PBAP OPoY-11,JacoJo01
133,Alexander Mattison,26,LVR,RB,14,7,48,36,294,13,-20,-0.6,314,8.7,-0.1,6,6.0,2,4.2,2,79.7,,MattAl01
134,Joe Mixon,28,HOU,RB,14,14,52,36,309,12,-51,-1.4,360,10.0,-0.5,6,6.0,4,7.7,0,90.9,PB,MixoJo00
135,David Montgomery,27,DET,RB,14,14,38,36,341,16,-24,-0.7,365,10.1,-0.5,11,3.3,0,0.0,0,104.1,,MontDa01
136,Noah Brown,28,WAS,WR,11,9,56,35,453,21,370,10.6,83,2.4,11.4,0,,4,7.1,1,86.4,,BrowNo00
137,Austin Ekeler,29,WAS,RB,12,6,41,35,366,14,-58,-1.7,424,12.1,-1.4,4,8.8,2,4.9,0,103.9,AP-2,EkelAu00
138,Kyren Williams,24,LAR,RB,16,16,40,34,182,6,-13,-0.4,195,5.7,-0.7,2,17.0,1,2.5,0,102.3,AP OPoY-11,WillKy02
139,Saquon Barkley,27,PHI,RB,16,16,43,33,278,12,33,1.0,245,7.4,1.9,6,5.5,2,4.7,0,108.5,PBAP-1AP MVP-3AP OPoY-1AP CPoY-14,BarkSa00
140,Tim Patrick,31,DET,WR,16,9,44,33,394,20,253,7.7,141,4.3,10.0,2,16.5,1,2.3,2,105.7,AP CPoY-6,PatrTi00
141,Ja'Tavion Sanders,21,CAR,TE,16,8,43,33,342,13,152,4.6,190,5.8,6.2,1,33.0,2,4.7,0,106.9,,SandJa01
142,Rhamondre Stevenson,26,NWE,RB,15,14,41,33,168,8,-69,-2.1,237,7.2,-1.0,3,11.0,1,2.4,0,91.9,,StevRh00
144,Jalen Coker,23,CAR,WR,11,4,46,32,478,23,307,9.6,171,5.3,11.3,2,16.0,0,0.0,1,108.8,,CokeJa01
145,James Cook,25,BUF,RB,16,16,38,32,258,14,-2,-0.1,260,8.1,0.9,0,,2,5.3,0,112.5,PB,CookJa01
146,J.K. Dobbins,26,LAC,RB,13,11,38,32,153,6,-51,-1.6,204,6.4,-1.2,1,32.0,2,5.3,0,83.4,AP CPoY-2,DobbJK00
147,David Moore,29,CAR,WR,17,5,57,32,351,18,291,9.1,60,1.9,10.8,1,32.0,4,7.0,0,92.1,,MoorDa03
148,Foster Moreau,27,NOR,TE,17,17,43,32,413,21,255,8.0,158,4.9,9.2,2,16.0,0,0.0,1,133.2,,MoreFo00
149,Chris Olave,24,NOR,WR,8,8,44,32,400,22,279,8.7,121,3.8,10.3,1,32.0,2,4.5,2,89.2,,OlavCh00
150,Sterling Shepard,31,TAM,WR,14,5,51,32,334,16,235,7.3,99,3.1,9.3,1,32.0,4,7.8,0,88.2,,ShepSt00
151,Parker Washington,22,JAX,WR,17,7,51,32,390,19,282,8.8,108,3.4,11.2,2,16.0,1,2.0,1,97.7,,WashPa01
152,Nick Westbrook-Ikhine,27,TEN,WR,17,9,60,32,497,25,373,11.7,124,3.9,11.5,2,16.0,4,6.7,3,99.8,,WestNi00
153,Mack Hollins,31,BUF,WR,17,13,50,31,378,25,288,9.3,90,2.9,11.1,0,,3,6.0,0,118.6,,HollMa00
154,Lil'Jordan Humphrey,26,DEN,WR,17,7,45,31,293,12,101,3.3,192,6.2,6.5,3,10.3,3,6.7,2,75.5,,HumpLi01
155,Ricky Pearsall,24,SFO,WR,11,4,46,31,400,19,286,9.2,114,3.7,11.4,1,31.0,0,0.0,3,89.0,,PearRi00
156,Demarcus Robinson,30,LAR,WR,17,17,64,31,505,27,434,14.0,71,2.3,14.2,1,31.0,1,1.6,4,85.7,,RobiDe01
157,Curtis Samuel,28,BUF,WR,14,2,46,31,253,9,93,3.0,160,5.2,4.6,1,31.0,1,2.2,1,79.3,,SamuCu00
158,KaVontae Turpin,28,DAL,WR,17,2,52,31,420,18,160,5.2,260,8.4,8.5,2,15.5,2,3.8,2,82.2,PBAP-1,TurpKa00
159,AJ Barner,22,SEA,TE,17,6,38,30,245,18,81,2.7,164,5.5,3.6,1,30.0,3,7.9,1,117.7,,BarnAJ00
160,Dyami Brown,25,WAS,WR,16,3,40,30,308,13,90,3.0,218,7.3,7.1,4,7.5,2,5.0,0,105.0,,BrowDy00
161,Colby Parkinson,25,LAR,TE,17,9,49,30,294,15,134,4.5,160,5.3,5.3,1,30.0,2,4.1,0,84.9,,ParkCo02
162,Tyjae Spears,23,TEN,RB,12,1,35,30,224,9,-31,-1.0,255,8.5,-1.2,4,7.5,1,2.9,0,102.9,,SpeaTy00
163,Keon Coleman,21,BUF,WR,13,12,57,29,556,22,341,11.8,215,7.4,15.2,4,7.3,4,7.0,2,93.9,,ColeKe02
164,Theo Johnson,23,NYG,TE,12,11,43,29,331,16,182,6.3,149,5.1,6.7,1,29.0,5,11.6,1,88.4,,JohnTh00
165,Cedric Tillman,24,CLE,WR,11,6,49,29,339,15,235,8.1,104,3.6,11.1,4,7.3,3,6.1,2,83.6,,TillCe01
166,Christian Watson,25,GNB,WR,15,15,53,29,620,21,471,16.2,149,5.1,17.8,0,,2,3.8,2,93.3,,WatsCh00
167,Kendrick Bourne,29,NWE,WR,12,9,38,28,305,13,211,7.5,94,3.4,9.3,0,,4,10.5,0,105.7,,BourKe00
168,Troy Franklin,21,DEN,WR,16,6,53,28,263,11,100,3.6,163,5.8,13.0,1,28.0,3,5.7,1,71.5,,FranTr00
169,Jalen Nailor,25,MIN,WR,17,7,42,28,414,22,308,11.0,106,3.8,11.5,0,,4,9.5,0,138.3,,NailJa00
170,Samaje Perine,29,KAN,RB,17,0,35,28,322,15,9,0.3,313,11.2,0.3,3,9.3,1,2.9,0,114.5,,PeriSa00
