"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Foyesade Oluokun","LB","JAC",7,132,2.63,0.272,109,189,2,6.84,1.29,146,126,147,7,"1",31,NA,21.7,2,8
"Carson Schwesinger","LB","CLE",11,132,44.7,1.57,88.6,200,1.73,-13.4,12.2,147,216,125,8,"1",23,NA,NA,71,1
"Budda Baker","DB","ARI",14,112,16,1,89.5,153,1.65,-5.27,9.2,148,178,133,8,"1",30,NA,15.1,30,9
"Aaron Jones","RB","MIN",6,233,35,0.75,186,267,0.75,-9.07,15,149,191,115,39,"14",31,114,5.42,71,9
"Julian Love","DB","SEA",11,111,20.2,0.647,97.6,125,0.647,2.81,-19.4,150,140,245,9,"1",28,NA,7.68,47,7
"Tremaine Edmunds","LB","NYG",8,130,13.2,0.153,106,179,0.153,4.05,-8.41,151,135,196,9,"1",28,NA,14.4,23,8
"Justin Herbert","QB","LAC",7,434,32.9,0.15,410,468,0.15,2.63,0,152,141,154,9,"3",28,83.8,13.7,55,6
"Nick Bosa","DL","SF",8,78.6,1.37,0.00312,68.9,102,0.00312,0.405,3.29,153,152,142,9,"2",28,NA,6.84,1,7
"Joe Burrow","QB","CIN",6,434,5.52,1.31,427,483,0,19,15.7,154,101,112,10,"3",29,44.3,18,9,6
"Jacory Croskey-Merritt","RB","WAS",7,233,11.9,6.08,220,244,0,25.6,-8.03,154,94,190,40,"15",25,121,5.58,22,1
"Tyreek Hill","WR","FA",NA,175,NA,0.0875,175,175,0,20.5,-21.8,154,99,261,50,"9",32,175,5.73,99,10
"Mike Gesicki","TE","CIN",6,115,4.3,7.72,109,121,0,16.1,-13.8,154,104,223,30,"10",30,207,1.6,45,8
"Will Anderson","DL","HOU",8,78.6,5.75,0.162,68.5,99.1,0,0,0.0813,154,154,152,10,"2",24,NA,NA,9,3
"Cedric Gray","LB","TEN",9,130,1.33,0.856,102,201,0,0,13.1,154,154,122,10,"1",23,NA,NA,17,2
"Jessie Bates","DB","ATL",11,110,1,0.506,98,140,0,3.24,-4.28,154,137,172,10,"1",29,NA,12.3,1,8
"Quentin Johnston","WR","LAC",7,175,27.4,1.11,154,197,-0.0875,-0.63,0,155,157,154,51,"9",24,122,6.15,74,3
"Tommy Togiai","DL","HOU",8,78.4,31.5,0.634,59.3,97.5,-0.162,-9.24,-1.51,156,194,161,11,"2",26,NA,5.9,98,5
"Kamari Lassiter","DB","HOU",8,109,11.1,0.497,93,141,-0.506,-1.77,-2.84,157,163,164,11,"1",23,NA,6.31,42,2
"Alex Highsmith","DL","PIT",9,77.8,2.04,1.13,69.1,98.2,-0.797,0.625,-0.812,158,149,157,12,"2",29,NA,13.6,2,6
"Alex Highsmith","DL","PIT",9,77.8,2.04,1.13,69.1,98.2,-0.797,0.625,-0.812,158,149,157,12,"2",29,NA,13.6,18,6
"Jamien Sherwood","LB","NYJ",13,129,5.56,0.125,104,188,-0.856,2.28,0,159,143,154,11,"1",26,NA,11.3,9,5
"Fred Warner","LB","SF",8,129,37.6,2.65,90.2,193,-0.981,-11.9,5.36,160,210,140,12,"1",29,NA,NA,61,8
"Nick Emmanwori","DB","SEA",11,109,44.7,0.0219,77.9,146,-1,-16.9,2.12,161,243,144,12,"1",22,NA,NA,94,1
"Jaquan Brisker","DB","PIT",9,109,33.1,0.691,83,144,-1.03,-11.8,-0.0337,162,208,155,13,"1",27,NA,6.5,65,4
"Xavier Worthy","WR","KC",5,174,13.8,1.8,140,186,-1.2,-15.3,-10.6,163,230,204,52,"9",23,127,3.29,29,2
"Xavier Worthy","WR","KC",5,174,13.8,1.8,140,186,-1.2,-15.3,-10.6,163,230,204,52,"9",23,127,3.29,29,2
"Xavier Worthy","WR","KC",5,174,13.8,1.8,140,186,-1.2,-15.3,-10.6,163,230,204,52,"9",23,127,3.29,38,2
"Xavier Worthy","WR","KC",5,174,13.8,1.8,140,186,-1.2,-15.3,-10.6,163,230,204,52,"9",23,127,3.29,38,2
"Dak Prescott","QB","DAL",14,433,15.1,3.53,412,455,-1.31,4.05,-12.8,164,136,214,11,"3",33,75.3,11,30,10
"Kevin Byard","DB","NE",11,108,9.08,0.184,98,126,-1.72,3.19,-18.2,165,138,240,14,"1",32,NA,8.4,20,10
"Xavier McKinney","DB","GB",11,108,11,0.572,90.6,143,-1.9,-4.23,-1.41,166,172,160,15,"1",26,NA,11.6,23,6
"T.J. Watt","DL","PIT",9,76.6,4.78,0.291,65.8,100,-1.93,-2.67,0.994,167,166,148,13,"2",31,NA,19.7,8,9
"T.J. Watt","DL","PIT",9,76.6,4.78,0.291,65.8,100,-1.93,-2.67,0.994,167,166,148,13,"2",31,NA,19.7,37,9
"Danielle Hunter","DL","HOU",8,76.3,4.08,0.0156,67.5,95.4,-2.22,-1.04,-3.6,168,158,167,14,"2",31,NA,12.9,6,11
"Danielle Hunter","DL","HOU",8,76.3,4.08,0.0156,67.5,95.4,-2.22,-1.04,-3.6,168,158,167,14,"2",31,NA,12.9,24,11
"Tuli Tuipulotu","DL","LAC",7,76.3,4.67,0.303,69.1,90.7,-2.24,0.552,-8.37,169,150,195,15,"2",23,NA,9.91,11,3
"Tuli Tuipulotu","DL","LAC",7,76.3,4.67,0.303,69.1,90.7,-2.24,0.552,-8.37,169,150,195,15,"2",23,NA,9.91,23,3
"Marlon Humphrey","DB","BAL",13,107,14.3,0.188,95.3,117,-2.47,0.457,-26.6,170,151,287,16,"1",30,NA,5.88,24,9
"Jared Verse","DL","CLE",11,76,6.86,5.02,66.7,93.6,-2.54,-1.83,-5.4,171,164,177,16,"3",25,NA,NA,27,2
"Jared Verse","DL","CLE",11,76,6.86,5.02,66.7,93.6,-2.54,-1.83,-5.4,171,164,177,16,"3",25,NA,NA,57,2
"Alohi Gilman","DB","KC",5,107,44,0.534,69,138,-2.66,-25.8,-5.69,172,332,179,17,"1",28,NA,6.12,99,6
"Jordyn Tyson","WR","NO",8,172,30.8,2.3,119,216,-3,-35.7,19.1,173,404,110,53,"9",21,100,19.7,83,0
"Cooper DeJean","DB","PHI",10,107,26.1,0.112,83.6,125,-3.19,-11.1,-18.7,174,202,243,18,"1",23,NA,NA,68,2
"Chamarri Conner","DB","KC",5,107,2.67,0.319,92.6,140,-3.31,-2.17,-3.73,175,165,168,19,"1",26,NA,6.79,11,3
"Trevon Moehrig","DB","CAR",5,106,5.3,0.419,92,138,-3.62,-2.77,-5.88,176,167,181,20,"2",27,NA,NA,8,5
"Quay Walker","LB","LVR",13,126,43.8,4.19,87.2,185,-3.63,-14.9,-2.38,177,227,163,13,"2",26,NA,18.7,73,4
"Xavier Watts","DB","ATL",11,106,1.45,0.494,94.8,133,-4.04,0,-10.8,178,154,205,21,"2",24,NA,NA,15,1
"Tyson Campbell","DB","CLE",11,105,10.7,0.0188,91.5,131,-4.54,-3.28,-13.1,179,170,216,22,"2",26,NA,6.58,33,5
"Michael Jackson","DB","CAR",5,105,7.88,0.0812,101,110,-4.56,5.78,-34,180,131,336,23,"2",29,NA,6.53,12,7
"Michael Jackson","DB","CAR",5,105,7.88,0.0812,101,110,-4.56,5.78,-34,180,131,336,23,"2",29,NA,6.53,12,7
"Camryn Bynum","DB","IND",13,105,20.8,0.0187,87.2,120,-4.64,-7.56,-24.1,181,186,272,24,"2",28,NA,4.92,58,5
