"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Bucky Irving","RB","TB",10,210,21.7,9.95,188,242,73.7,75.7,81.1,25,25,22,20,"7",23,44.9,14.2,59,2
"Drake London","WR","ATL",11,229,30.5,5.19,196,274,71.4,59,90.9,26,34,17,5,"3",25,20.7,37.4,78,4
"Josh Allen","QB","BUF",7,369,14.1,38.7,359,391,66.7,76.2,67.4,27,24,29,1,"1",30,17.8,36.9,1,8
"Justin Jefferson","WR","MIN",6,224,26.8,1.4,198,263,66.2,61,80.5,28,32,23,6,"3",27,15.1,49.5,68,6
"CeeDee Lamb","WR","DAL",14,223,15.9,7.7,208,244,64.8,70.8,60.8,29,28,33,7,"3",27,13.8,50.8,24,6
"Quinshon Judkins","RB","CLE",11,200,25.7,3.94,176,239,63.8,63.4,77.9,30,30,27,21,"8",22,58,18.8,73,1
"Brock Bowers","TE","LVR",13,195,12.8,32.2,175,206,61.6,58.9,58.5,31,35,34,2,"2",23,24.5,32.7,1,2
"D'Andre Swift","RB","CHI",10,196,16.3,2.74,175,217,59.8,62.9,56.6,32,31,35,22,"8",27,57.5,21.9,28,6
"Bhayshul Tuten","RB","JAC",7,193,8.78,1.71,184,204,57.1,71.6,43,34,27,40,23,"8",24,75.2,13,6,1
"Rashee Rice","WR","KC",5,215,23,2.51,193,248,57.1,55.9,65.5,33,36,30,8,"3",26,34.5,27.9,62,3
"TreVeyon Henderson","RB","NE",11,191,20.1,8.68,178,225,55.4,65.7,64.1,35,29,31,24,"8",23,57.2,12.5,52,1
"George Pickens","WR","DAL",14,213,27.2,3.14,189,245,54.6,52.2,61.8,36,37,32,9,"4",25,36.4,30.3,72,4
"A.J. Brown","WR","NE",11,209,21.1,1.23,182,234,51.5,45.2,50.6,37,40,37,10,"4",29,26.9,35.3,54,7
"Chris Olave","WR","NO",8,208,26.3,0.764,175,236,50.3,38.5,53.2,38,44,36,11,"4",26,44.8,29.2,70,4
"Nico Collins","WR","HOU",8,207,15.3,6.7,189,226,49.5,52.1,43.4,39,38,39,12,"4",27,27.1,36.6,26,5
"David Montgomery","RB","HOU",8,183,14.8,10.8,172,207,46.7,60.1,46.5,40,33,38,25,"9",29,64.2,20,27,7
"Zay Flowers","WR","BAL",13,201,17.9,5.24,180,221,42.8,43.5,38.4,41,41,42,13,"4",25,50,20,43,3
"Malik Nabers","WR","NYG",8,196,16.8,3.02,175,218,37.6,37.9,35.4,42,46,45,14,"4",23,30.9,23.9,45,2
"Jaylen Warren","RB","PIT",9,172,10.3,2.1,160,182,35.9,47.3,21.7,43,39,60,26,"9",27,88.5,10.9,3,4
"Garrett Wilson","WR","NYJ",13,193,12,0.661,175,206,34.5,37.8,23.5,44,47,58,15,"5",26,47.2,22.6,18,4
"Emeka Egbuka","WR","TB",10,192,15.7,0.432,172,214,33.9,35.5,30.6,45,52,51,16,"5",23,54.4,19.7,32,1
"Rico Dowdle","RB","PIT",9,170,18.1,1.22,150,194,33.8,37.5,33.5,46,49,47,27,"9",28,86.6,8.7,45,6
"DeVonta Smith","WR","PHI",10,191,11.9,1.29,173,204,33.4,36.6,21.3,47,51,61,17,"5",27,45.1,30.9,12,5
"Tony Pollard","RB","TEN",9,169,11.4,3.95,150,176,32.6,37.5,15.2,48,48,72,28,"10",29,85.8,12.8,7,7
"Tetairoa McMillan","WR","CAR",5,190,16.1,0.808,174,214,32.2,36.9,31.3,49,50,48,18,"5",23,49.5,18.7,34,1
"Jameson Williams","WR","DET",6,189,11.5,1.51,178,207,31.3,41.4,23.9,50,43,57,19,"5",25,62.4,14.4,14,4
"Tee Higgins","WR","CIN",6,188,17.1,1.44,171,206,29.8,34.6,23.4,51,53,59,20,"5",27,46.3,21.4,38,6
"Colston Loveland","TE","CHI",10,163,15.9,7.37,148,187,29.5,31.8,39.6,52,55,41,3,"3",22,58.2,18.1,23,1
"Rhamondre Stevenson","RB","NE",11,165,15,0.469,144,180,28.7,31.3,19.7,53,56,67,29,"10",28,99.7,9.13,24,5
"Davante Adams","WR","LAR",11,186,8.89,7.07,179,201,28.4,42.4,17.6,54,42,68,21,"5",33,60.9,20.6,3,12
"Chuba Hubbard","RB","CAR",5,164,11,1.01,150,175,28.2,38,14.1,55,45,76,30,"10",27,83.1,11.1,15,5
"Lamar Jackson","QB","BAL",13,330,20.1,4.27,311,354,28,28.9,31.1,56,60,50,2,"1",29,33.4,25.4,6,8
"Jadarian Price","RB","SEA",11,163,42.8,0.468,93.3,198,27.2,-18.9,37,57,158,43,31,"10",22,62.7,26.8,97,0
"RJ Harvey","RB","DEN",10,163,20.7,6.21,143,188,26.7,30.3,26.8,58,58,53,32,"10",25,86.5,6.91,72,1
"Brandon Aubrey","K","DAL",14,170,6.74,5.16,160,178,24.4,24.8,20.3,59,65,64,1,"1",31,107,6.62,1,3
"Jayden Daniels","QB","WAS",7,326,17.6,2.78,305,344,23.8,22.3,21,60,69,63,3,"1",25,46.2,13.5,28,2
"Tyler Warren","TE","IND",13,155,12.9,0.00608,139,172,22.1,22.7,24.2,61,68,56,4,"3",24,59.3,15.6,3,1
"Harold Fannin","TE","CLE",11,155,18.6,3.44,134,179,22.1,18.2,31.2,62,75,49,5,"3",22,76.1,7.16,43,1
"Terry McLaurin","WR","WAS",7,179,12.5,0.0772,163,192,21.3,26.1,8.92,63,63,85,22,"5",30,56.3,17.9,19,7
"D.J. Moore","WR","BUF",7,179,23.6,0.136,160,218,21.3,23,34.8,64,67,46,23,"5",29,67,18,66,8
"Rome Odunze","WR","CHI",10,179,15.2,0.697,162,200,21.1,25.5,17.2,65,64,69,24,"5",24,72.3,8.66,28,2
"Jalen Hurts","QB","PHI",10,323,13.9,0.304,307,338,21,24.5,15,66,66,73,4,"1",28,51.6,13.3,14,6
